problemName,problemType,numCustomers,UAVspeed,UAVendurance,numTrucks,numUAVs,solverType,heuristicSwitch,timeLimit,numNodesExplored,LPrelaxationBound,lowerBound,objVal,isOptimal,runTime,numTruckCust,numUAVcust,initialHeuristicSoln,finalBnBlowerBound,finalBnBobjVal,finalBnBrunTime,finalBnBnumTruckCust,finalBnBnumUAVcust
20140813T125051,small,20,-,30.000000,3,2,BNP,1,1800,13,103.49,inf,103.405,0,0.085,15,8,103.885,-,-,-,-,-


BNP SOLUTION:

Truck tours:
0,8,9,16,14,21
0,18,6,19,17,4,1,3,5,2,21
0,20,15,21

UAV tours:
5,10,12,13
2,7,10,11
