problemName,problemType,numCustomers,UAVspeed,UAVendurance,numTrucks,numUAVs,solverType,heuristicSwitch,timeLimit,numNodesExplored,LPrelaxationBound,lowerBound,objVal,isOptimal,runTime,numTruckCust,numUAVcust,initialHeuristicSoln,finalBnBlowerBound,finalBnBobjVal,finalBnBrunTime,finalBnBnumTruckCust,finalBnBnumUAVcust
att48_0_80,large,48,2.000000,-,2,6,DFJ,-,3600,-,7156.57,12081.9,16500,0,3600.01,18,30,-,-,-,-,-,-


DFJ SOLUTION:

Truck tours:
0,11,46,36,43,17,18,8,16,23,49
0,48,5,29,2,26,4,45,35,32,49

UAV tours:
13,21,30,42,44
14,19,24,27,34,47
7,20,31,33,39,41
1,6,25,37
3,12,15,22,28,40
9,10,38
