problemName,problemType,numCustomers,UAVspeed,UAVendurance,numTrucks,numUAVs,solverType,heuristicSwitch,timeLimit,numNodesExplored,LPrelaxationBound,lowerBound,objVal,isOptimal,runTime,numTruckCust,numUAVcust,initialHeuristicSoln,finalBnBlowerBound,finalBnBobjVal,finalBnBrunTime,finalBnBnumTruckCust,finalBnBnumUAVcust
20140813T125242,small,20,-,30.000000,1,4,DFJ,-,1800,-,27.9729,63.8301,63.8301,1,0.221,7,13,-,-,-,-,-,-


DFJ SOLUTION:

Truck tours:
0,6,2,10,11,12,14,4,21

UAV tours:
1,9,15,17
8,18,20
13,16,19
3,5,7
