problemName,problemType,numCustomers,UAVspeed,UAVendurance,numTrucks,numUAVs,solverType,heuristicSwitch,timeLimit,numNodesExplored,LPrelaxationBound,lowerBound,objVal,isOptimal,runTime,numTruckCust,numUAVcust,initialHeuristicSoln,finalBnBlowerBound,finalBnBobjVal,finalBnBrunTime,finalBnBnumTruckCust,finalBnBnumUAVcust
20140813T124853,small,20,-,30.000000,1,2,BNP,1,1800,1,239.493,inf,239.493,0,0.033,20,0,240.453,-,-,-,-,-


BNP SOLUTION:

Truck tours:
0,6,9,4,7,5,11,19,16,15,3,8,20,12,14,13,1,2,17,10,18,21

UAV tours:
