"problemName","problemType","numCustomers","UAVspeed","UAVendurance","numTrucks","numUAVs","solverType","heuristicSwitch","timeLimit","initialHeuristicSoln","isOptimal","objVal","numTruckCust","numUAVcust","runTime"
"20140813T111640","small",10,NA,30,1,2,"DFJ",NA,1800,NA,1,146.461,8,2,0.028
"20140813T111640","small",10,NA,30,1,2,"BNP",0,1800,146.941,1,146.461,9,1,0.542
"20140813T111640","small",10,NA,30,1,2,"BNP",1,1800,146.941,0,146.941,8,2,0.004
"20140813T111640","small",10,NA,30,1,4,"DFJ",NA,1800,NA,1,146.461,8,2,0.024
"20140813T111640","small",10,NA,30,1,4,"BNP",0,1800,146.941,1,146.461,9,1,0.496
"20140813T111640","small",10,NA,30,1,4,"BNP",1,1800,146.941,0,146.461,9,1,0.005
"20140813T111640","small",10,NA,30,1,6,"DFJ",NA,1800,NA,1,146.461,8,2,0.038
"20140813T111640","small",10,NA,30,1,6,"BNP",0,1800,146.941,1,146.461,9,4,0.631
"20140813T111640","small",10,NA,30,1,6,"BNP",1,1800,146.941,0,146.941,8,2,0.014
"20140813T111640","small",10,NA,30,2,2,"DFJ",NA,1800,NA,1,100.237,10,0,1.727
"20140813T111640","small",10,NA,30,2,2,"BNP",0,1800,100.237,1,100.237,8,2,217.398
"20140813T111640","small",10,NA,30,2,2,"BNP",1,1800,100.237,0,100.237,8,2,0.556
"20140813T111640","small",10,NA,30,2,4,"DFJ",NA,1800,NA,1,100.237,10,0,2.285
"20140813T111640","small",10,NA,30,2,4,"BNP",0,1800,100.237,1,100.237,8,2,268.704
"20140813T111640","small",10,NA,30,2,4,"BNP",1,1800,100.237,0,100.237,8,2,0.891
"20140813T111640","small",10,NA,30,2,6,"DFJ",NA,1800,NA,1,100.237,9,1,2.086
"20140813T111640","small",10,NA,30,2,6,"BNP",0,1800,100.237,1,100.237,8,2,237.806
"20140813T111640","small",10,NA,30,2,6,"BNP",1,1800,100.237,0,100.237,8,2,0.728
"20140813T111640","small",10,NA,30,3,2,"DFJ",NA,1800,NA,1,85.8613,10,0,12.595
"20140813T111640","small",10,NA,30,3,2,"BNP",0,1800,94.9573,1,85.8613,9,1,1.108
"20140813T111640","small",10,NA,30,3,2,"BNP",1,1800,94.9573,0,85.8613,10,0,0.02
"20140813T111640","small",10,NA,30,3,4,"DFJ",NA,1800,NA,1,85.8613,9,1,12.009
"20140813T111640","small",10,NA,30,3,4,"BNP",0,1800,94.9573,1,85.8613,9,1,0.355
"20140813T111640","small",10,NA,30,3,4,"BNP",1,1800,94.9573,0,85.8613,9,1,0.004
